,Sentences
0,"This two-year course in physics is presented from the point of view that you, the reader, are going to be a physicist."
1,"This is not necessarily the case of course, but that is what every professor in every subject assumes!"
2,"If you are going to be a physicist, you will have a lot to study: two hundred years of the most rapidly developing field of knowledge that there is."
3,"So much knowledge, in fact, that you might think that you cannot learn all of it in four years, and truly you cannot; you will have to go to graduate school too!"
4,"Surprisingly enough, in spite of the tremendous amount of work that has been done for all this time it is possible to condense the enormous mass of results to a large extent—that is, to find laws which summarize all our knowledge."
5,"Even so, the laws are so hard to grasp that it is unfair to you to start exploring this tremendous subject without some kind of map or outline of the relationship of one part of the subject of science to another."
6,"Following these preliminary remarks, the first three chapters will therefore outline the relation of physics to the rest of the sciences, the relations of the sciences to each other, and the meaning of science, to help us develop a “feel” for the subject."
7,"You might ask why we cannot teach physics by just giving the basic laws on page one and then showing how they work in all possible circumstances, as we do in Euclidean geometry, where we state the axioms and then make all sorts of deductions."
8,"(So, not satisfied to learn physics in four years, you want to learn it in four minutes?)"
9,We cannot do it in this way for two reasons.
10,"First, we do not yet know all the basic laws: there is an expanding frontier of ignorance."
11,"Second, the correct statement of the laws of physics involves some very unfamiliar ideas which require advanced mathematics for their description."
12,"Therefore, one needs a considerable amount of preparatory training even to learn what the words mean."
13,"No, it is not possible to do it that way."
14,We can only do it piece by piece.
15,"Each piece, or part, of the whole of nature is always merely an approximation to the complete truth, or the complete truth so far as we know it."
16,"In fact, everything we know is only some kind of approximation, because we know that we do not know all the laws as yet."
17,"Therefore, things must be learned only to be unlearned again or, more likely, to be corrected."
18,"The principle of science, the definition, almost, is the following: The test of all knowledge is experiment."
19,Experiment is the sole judge of scientific “truth.” But what is the source of knowledge?
20,Where do the laws that are to be tested come from?
21,"Experiment, itself, helps to produce these laws, in the sense that it gives us hints."
22,"But also needed is imagination to create from these hints the great generalizations—to guess at the wonderful, simple, but very strange patterns beneath them all, and then to experiment to check again whether we have made the right guess."
23,"This imagining process is so difficult that there is a division of labor in physics: there are theoretical physicists who imagine, deduce, and guess at new laws, but do not experiment; and then there are experimental physicists who experiment, imagine, deduce, and guess."
24,"We said that the laws of nature are approximate: that we first find the “wrong” ones, and then we find the “right” ones."
25,"Now, how can an experiment be “wrong”?"
26,"First, in a trivial way: if something is wrong with the apparatus that you did not notice."
27,"But these things are easily fixed, and checked back and forth."
28,"So without snatching at such minor things, how can the results of an experiment be wrong?"
29,Only by being inaccurate.
30,"For example, the mass of an object never seems to change: a spinning top has the same weight as a still one."
31,"So a “law” was invented: mass is constant, independent of speed."
32,That “law” is now found to be incorrect.
33,"Mass is found to increase with velocity, but appreciable increases require velocities near that of light."
34,A true law is: if an object moves with a speed of less than one hundred miles a second the mass is constant to within one part in a million.
35,In some such approximate form this is a correct law.
36,So in practice one might think that the new law makes no significant difference.
37,"Well, yes and no."
38,For ordinary speeds we can certainly forget it and use the simple constant-mass law as a good approximation.
39,"But for high speeds we are wrong, and the higher the speed, the more wrong we are."
40,"Finally, and most interesting, philosophically we are completely wrong with the approximate law."
41,Our entire picture of the world has to be altered even though the mass changes only by a little bit.
42,"This is a very peculiar thing about the philosophy, or the ideas, behind the laws."
43,Even a very small effect sometimes requires profound changes in our ideas.
44,"Now, what should we teach first?"
45,"Should we teach the correct but unfamiliar law with its strange and difficult conceptual ideas, for example the theory of relativity, four-dimensional space-time, and so on?"
46,"Or should we first teach the simple “constant-mass” law, which is only approximate, but does not involve such difficult ideas?"
47,"The first is more exciting, more wonderful, and more fun, but the second is easier to get at first, and is a first step to a real understanding of the first idea."
48,This point arises again and again in teaching physics.
49,"At different times we shall have to resolve it in different ways, but at each stage it is worth learning what is now known, how accurate it is, how it fits into everything else, and how it may be changed when we learn more."
50,"Let us now proceed with our outline, or general map, of our understanding of science today (in particular, physics, but also of other sciences on the periphery), so that when we later concentrate on some particular point we will have some idea of the background, why that particular point is interesting, and how it fits into the big structure."
51,"So, what is our overall picture of the world?"
52,"If, in some cataclysm, all of scientific knowledge were to be destroyed, and only one sentence passed on to the next generations of creatures, what statement would contain the most information in the fewest words?"
53,"I believe it is the atomic hypothesis (or the atomic fact, or whatever you wish to call it) that all things are made of atoms—little particles that move around in perpetual motion, attracting each other when they are a little distance apart, but repelling upon being squeezed into one another."
54,"In that one sentence, you will see, there is an enormous amount of information about the world, if just a little imagination and thinking are applied."
55,"To illustrate the power of the atomic idea, suppose that we have a drop of water a quarter of an inch on the side."
56,"If we look at it very closely we see nothing but water—smooth, continuous water."
57,"Even if we magnify it with the best optical microscope available—roughly two thousand times—then the water drop will be roughly forty feet across, about as big as a large room, and if we looked rather closely, we would still see relatively smooth water—but here and there small football-shaped things swimming back and forth."
58,Very interesting.
59,These are paramecia.
60,"You may stop at this point and get so curious about the paramecia with their wiggling cilia and twisting bodies that you go no further, except perhaps to magnify the paramecia still more and see inside."
61,"This, of course, is a subject for biology, but for the present we pass on and look still more closely at the water material itself, magnifying it two thousand times again."
62,"Now the drop of water extends about fifteen miles across, and if we look very closely at it we see a kind of teeming, something which no longer has a smooth appearance—it looks something like a crowd at a football game as seen from a very great distance."
63,"In order to see what this teeming is about, we will magnify it another two hundred and fifty times and we will see something similar to what is shown in Fig."
64,1–1.
65,"This is a picture of water magnified a billion times, but idealized in several ways."
66,"In the first place, the particles are drawn in a simple manner with sharp edges, which is inaccurate."
67,"Secondly, for simplicity, they are sketched almost schematically in a two-dimensional arrangement, but of course they are moving around in three dimensions."
68,"Notice that there are two kinds of “blobs” or circles to represent the atoms of oxygen (black) and hydrogen (white), and that each oxygen has two hydrogens tied to it."
69,(Each little group of an oxygen with its two hydrogens is called a molecule.)
70,"The picture is idealized further in that the real particles in nature are continually jiggling and bouncing, turning and twisting around one another."
71,You will have to imagine this as a dynamic rather than a static picture.
72,"Another thing that cannot be illustrated in a drawing is the fact that the particles are “stuck together”—that they attract each other, this one pulled by that one, etc."
73,"The whole group is “glued together,” so to speak."
74,"On the other hand, the particles do not squeeze through each other."
75,"If you try to squeeze two of them too close together, they repel."
76,"Another way to remember their size is this: if an apple is magnified to the size of the earth, then the atoms in the apple are approximately the size of the original apple."
77,Now imagine this great drop of water with all of these jiggling particles stuck together and tagging along with each other.
78,"The water keeps its volume; it does not fall apart, because of the attraction of the molecules for each other."
79,"If the drop is on a slope, where it can move from one place to another, the water will flow, but it does not just disappear—things do not just fly apart—because of the molecular attraction."
80,"Now the jiggling motion is what we represent as heat: when we increase the temperature, we increase the motion."
81,"If we heat the water, the jiggling increases and the volume between the atoms increases, and if the heating continues there comes a time when the pull between the molecules is not enough to hold them together and they do fly apart and become separated from one another."
